experiment,chamfer_mean,chamfer_std,fscore_mean,fscore_std,psnr_mean_db,psnr_std_db,n_objects
full_model,0.20943557482768457,0.04265748877282031,0.0,0.0,14.552868832949517,2.5192775900586857,19
ablation_baseline,0.21934374127013165,0.05398946802419575,0.0,0.0,13.17169324128885,0.7251680067947971,5
ablation_no_photometric,0.21949852274440285,0.053916304382718085,0.0,0.0,8.690042214351198,1.9423265802750662,5
ablation_no_depth,0.21948190043466664,0.05391725096991179,0.0,0.0,12.033811132253625,0.40726302211853377,5
ablation_no_normal,0.21936698239461902,0.05394635346015409,0.0,0.0,12.936818662240873,0.7594635292194084,5
ablation_no_eikonal,0.2194363804798419,0.05401293915437322,0.0,0.0,13.08859990076176,1.073445056016824,5
